Model,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
Jordan 1 Retro High Satin Shattered Backboard (W),Black/Black-Starfish-Sail ,$160 ,5/5/18,10550,112.50%,$351 
Jordan 3 Retro Hall of Fame,White/Fire Red-Cement Grey-Black ,$190 ,5/12/18,5481,14.70%,$209 
Jordan 1 Mid Black Cone,Black/Cone-Light Bone ,$110 ,9/15/18,70,4.50%,$119 
Jordan 11 Retro UNC Win Like 82,White/University Blue-Midnight Navy ,$220 ,11/11/17,7032,4.50%,$236 
Jordan 7 Retro Low Taxi,Taxi/Taxi-Black-White-Cardinal Red ,$140 ,9/27/18,131,-7.10%,$149 
Jordan 13 Retro Bred (2017),Black/True Red-White ,$190 ,8/19/17,3648,-5.30%,$194 
Jordan 11 Retro Low Cool Grey,Medium Grey/White-Gunsmoke ,$175 ,4/28/18,3436,2.30%,$178 
Jordan 3 Retro Flyknit Black,Black/Black-Anthracite ,$200 ,8/15/18,1146,5.00%,$243 
Jordan 11 Retro 72-10,Black/Gym Red-White-Anthracite ,$220 ,12/12/15,3560,9.50%,$285 
Jordan 4 Retro White Cement (2016),White/Fire Red-Black-Tech Grey ,$220 ,2/13/16,2517,56.40%,$300 
Jordan 11 Retro Low Derek Jeter RE2PECT,Binary Blue/Binary Blue-Sail ,$200 ,5/14/18,3601,-10.00%,$224 
Jordan 11 Retro Low Rose Gold (W),Sail/Metallic Red Bronze-Gum Medium Brown ,$175 ,4/13/18,1654,8.60%,$195 
Jordan 12 Retro French Blue (2016),White/French Blue-Metallic Silver-Varsity Red ,$190 ,4/2/16,989,31.60%,$235 
Jordan 9 Retro Bred Patent,Black/University Red-Anthracite ,$190 ,3/10/18,4208,5.30%,$224 
Jordan 1 Retro High Game Royal (GS),Game Royal/Black-Summit White ,$120 ,3/24/18,4380,194.20%,$163 
"Jordan 1 Retro Bred ""Banned"" (2016)""",Black/Varsity Red-White ,$160 ,9/3/16,2964,164.40%,$440 
Nike Blazer Mid Off-White All Hallow's Eve,Canvas/Total Orange-Pale Vanilla-Black ,$130 ,10/3/18,1903,393.80%,$673 
Nike Blazer Mid Off-White Grim Reaper,Black/White-Cone-Black ,$130 ,10/3/18,1666,326.90%,$615 
Air Presto Mid Acronym Racer Pink,Racer Pink/Black-Photo Blue-White ,$200 ,9/20/18,3870,32.00%,$308 
Air Presto Mid Acronym Cool Grey,Cool Grey/Black ,$200 ,9/20/18,2263,10.00%,$249 
